CATEGORY,ITEM_ID,ITEM_NAME,SALE_PRICE,REDUCED_PRICE,BENEFIT_PRICE,DISCOUNT_RATE,IS_FOOD,ITEM_FEATURE1,ITEM_FEATURE2,MEANING_SCORE,PRICE_DT,KURLY_HCT,KURLY_MCT
고추장,33176455326,해찬들 새콤달콤 초고추장,"10,500","10,500",0, - , 식품 ,,KF365,,2022-07-01,면_양념_오일,양념_액젓_장류
빵,9139260905,[몽블랑제]순우유 식빵 1개,"3,500","3,500",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,식빵_빵류
땅콩,25189700629,220gX5봉 자연의향기 볶음알땅콩 구성확인,"39,300","39,300",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,견과류
잼,771576467,수입잼 모음,"3,344","3,344",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,잼_버터_스프레드
스낵과자,1078034566,[오뚜기] 뿌셔뿌셔 양념치킨맛 24입(90g x 24개),"20,900","20,900",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,과자_스낵_쿠키
잼,1249879127,레디 보라색 꽃 잎 잼 플라스크 210g 3개 유럽 직구,"45,700","45,700",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,잼_버터_스프레드
고추장,26691162702,한애가 천연발효고추장500g,"16,236","16,236",0, - , 식품 ,,컬리스,,2022-07-01,면_양념_오일,양념_액젓_장류
즉석식품,32123667708,햇반 컵반 고추장제육덮밥 250g 9개,"24,350","24,350",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
북어채,33189477386,(SM)아침미소 북어채 1kg,"52,870","52,870",0, - , 식품 ,,컬리온리,,2022-07-01,수산_해산_건어물,건어물_다시팩
분유,33158582338,앱솔루트 명작 2FL 분유 2단계,"61,570","61,570",0, - , 식품 ,,컬리스,,2022-07-01,베이비_키즈_완구,분유_간편 이유식
혼합음료,33180073479,포카리스웨트 900ml 20개 이온음료,"25,410","25,410",0, - , 식품 ,,KF365,,2022-07-01,생수_음료_우유_커피,음료_주스
참외,31142780112,수야네 꿀 성주참외 3kg(8-10과),"30,900","30,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,국산과일
과일가공품,12301953863,펭귄 황도 슬라이스 400g 복숭아 통조림,"1,360","1,360",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,간편과일
냉동식품,1963459815,굽네 닭가슴살 김치 만두 180g,"2,450","2,450",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
냉동식품,1282576518,1am 똑똑식단 닭가슴살 한끼볼 포테이토 100g x 5팩,"13,000","13,000",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
마른멸치,1311722824,완도명가 자멸치 1.5kg 볶음용,"57,900","57,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,건어물_다시팩
잼,537530353,레몬품은 딸기잼 1kgx1,"18,500","18,500",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,잼_버터_스프레드
치즈,30555097387,매일유업 뼈로가는칼슘치즈 10매x4팩 (총40매) 냉장무료배송  270g  40매,"13,460","13,460",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,치즈
즉석식품,32444442366,[씨제이제일제당]  가쓰오우동 4인분 x 2개,"15,950","15,950",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
혼합음료,17292316916,[홈플러스]느린식혜1L,"4,710","4,710",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,음료_주스
김치,30520897821,CJ 비비고썰은배추김치(용기형) 300G,"4,990","4,990",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,김치_젓갈_장류
생선통조림,22078845706,오뚜기 김치찌개용 참치 통조림 150g 3입 3개,"21,960","21,960",0, - , 식품 ,,컬리온리,,2022-07-01,수산_해산_건어물,수산가공품
즉석식품,26466650015,오뚜기 새송이 쇠고기죽 285g X 4개,"6,510","6,510",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
김,1335490186,[바다소리] 생돌 김가루(35g) 1봉,"5,500","5,500",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
찹쌀,31953641860,프레시데이 안동김유조 전통 찹쌀식혜5병 + 단호박식혜5병 + 수정과5병,"34,470","34,470",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
냉동식품,31680328915,CJ제일제당 비비고 왕교자 350G,"8,950","8,950",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
참외,32356092610,맛으로 승부! 못난이 꿀 참외 5kg(가정용 랜덤과),"9,900","9,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,국산과일
땅콩,82479052343,국산 여주 햇땅콩 생땅콩 볶은 볶음 땅콩 500g,"10,900","10,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,견과류
된장,31290603063,청정원 순창 재래식생된장 900g,"5,920","5,920",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
분유,29140405243,파스퇴르 위드맘 산양분유 2단계 1캔,"33,730","33,730",0, - , 식품 ,,,,2022-07-01,베이비_키즈_완구,분유_간편 이유식
잼,1249935858,FET TO SOLLER 매실 잼 플라스크 225g 2개 유럽,"46,400","46,400",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,잼_버터_스프레드
카레,32966100132,오뚜기밥 오곡 210gX3개 + 오뚜기 3분쇠고기카레 200g,"9,340","9,340",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,죽_스프_카레
혼합음료,32875454395,NOOMA 노마 패키지 이온음료 355ml 12팩,"99,990","99,990",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,음료_주스
치즈,27543076974,앵커 슬라이스온슬라이스 치즈 80매 체다치즈,"8,540","8,540",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,치즈
된장,30945823918,미화합동 찌개된장 14kg/대용량 업소용 식자재/메주,"47,440","47,440",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
미역,32303530228,완도 자른미역 100g 씻어나온 건미역 마른 커트미역,"1,900","1,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
마른멸치,83262366683,HACCP인증 국산 볶음조림용 가이리 멸치(자멸치) 250g,"28,500","28,500",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,건어물_다시팩
냉동식품,32106154481,한성 해물경단 540g 270g 270g,"7,500","7,500",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
냉동식품,1137087084,삼선 구운고등어 15팩,"54,900","54,900",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
라면,1219096937,농심 신라면 소컵 65g 15입,"15,900","15,900",0, - , 식품 ,,컬리온리,,2022-07-01,샐러드_간편식,파스타_면류
참기름,24733789934,오뚜기 오뚜기 고소한 참기름 1000ml,"24,860","24,860",0, - , 식품 ,,,,2022-07-01,면_양념_오일,식용유_참기름_오일
